id,probability_uint64,payout_multiplier
1,35507340,0
2,35507340,0
3,35507340,0
4,35507340,0
5,35507340,0
6,35507340,0
7,35507340,0
8,35507340,0
9,35507340,0
10,35507340,0
11,35507340,0
12,35507340,0
13,35507340,0
14,35507340,0
15,35507340,0
16,35507340,0
17,35507340,0
18,35507340,0
19,35507340,0
20,35507340,0
21,35507340,0
22,35507340,0
23,35507340,0
24,35507340,0
25,35507340,0
26,35507340,0
27,35507340,0
28,35507340,0
29,35507340,0
30,35507340,0
31,35507340,0
32,35507340,0
33,35507340,0
34,35507340,0
35,35507340,0
36,35507340,0
37,35507340,0
38,35507340,0
39,35507340,0
40,35507340,0
41,35507340,0
42,35507340,0
43,35507340,0
44,35507340,0
45,35507340,0
46,35507340,0
47,35507340,0
48,35507340,0
49,35507340,0
50,35507340,0
51,35507340,0
52,35507340,0
53,35507340,0
54,35507340,0
55,35507340,0
56,35507340,0
57,35507340,0
58,35507340,0
59,35507340,0
60,35507340,0
61,35507340,0
62,35507340,0
63,35507340,0
64,35507340,0
65,35507340,0
66,35507340,0
67,35507340,0
68,35507340,0
69,35507340,0
70,35507340,0
71,35507340,0
72,35507340,0
73,35507340,0
74,35507340,0
75,35507340,0
76,35507340,0
77,35507340,0
78,35507340,0
79,35507340,0
80,35507340,0
81,35507340,0
82,35507340,0
83,35507340,0
84,35507340,0
85,35507340,0
86,35507340,0
87,35507340,0
88,35507340,0
89,35507340,0
90,35507340,0
91,35507340,0
92,35507340,0
93,35507340,0
94,35507340,0
95,35507340,0
96,35507340,0
97,35507340,0
98,35507340,0
99,35507340,0
100,35507340,0
101,35507340,0
102,35507340,0
103,35507340,0
104,35507340,0
105,35507340,0
106,35507340,0
107,35507340,0
108,35507340,0
109,35507340,0
110,35507340,0
111,35507340,0
112,35507340,0
113,35507340,0
114,35507340,0
115,35507340,0
116,35507340,0
117,35507340,0
118,35507340,0
119,35507340,0
120,35507340,0
121,35507340,0
122,35507340,0
123,35507340,0
124,35507340,0
125,35507340,0
126,35507340,0
127,35507340,0
128,35507340,0
129,35507340,0
130,35793689,0
131,35793689,0
132,35793689,0
133,35793689,0
134,35793689,0
